SampleMetaAttributes
ProjectName,Label,DataType,Required,AttributeName,Desc,Options,Order
MIxS Demo Project,,string,F,Lat Lon,<b>Definition:</b>The geographical origin of the sample as defined by latitude and longitude. The values should be reported in decimal degrees and in WGS84 system<br><b>Structured comment name:</b>lat_lon</br><b>Section:</b>environment</br><b>Expected value:</b>decimal degrees,,1
MIxS Demo Project,,string,F,Geo Loc Name,"<b>Definition:</b>The geographical origin of the sample as defined by the country or sea name followed by specific region name. Country or sea names should be chosen from the INSDC country list (http://insdc.org/country.html), or the GAZ ontology (v 1.512) (http://purl.bioontology.org/ontology/GAZ)<br><b>Structured comment name:</b>geo_loc_name</br><b>Section:</b>environment</br><b>Expected value:</b>country or sea name (INSDC or GAZ):region(GAZ):specific location name",,2
MIxS Demo Project,,string,F,Collection Date,"<b>Definition:</b>The time of sampling, either as an instance (single point in time) or interval. In case no exact time is available, the date/time can be right truncated i.e. all of these are valid times: 2008-01-23T19:23:10+00:00; 2008-01-23T19:23:10; 2008-01-23; 2008-01; 2008; Except: 2008-01; 2008 all are ISO8601 compliant<br><b>Structured comment name:</b>collection_date</br><b>Section:</b>environment</br><b>Expected value:</b>date and time",,3
MIxS Demo Project,,string,F,Env Biome,"<b>Definition:</b>Biomes are defined based on factors such as plant structures, leaf types, plant spacing, and other factors like climate. Biome should be treated as the descriptor of the broad ecological context of a sample. Examples include: desert, taiga, deciduous woodland, or coral reef. EnvO (v 2013-06-14) terms can be found via the link: www.environmentontology.org/Browse-EnvO<br><b>Structured comment name:</b>env_biome</br><b>Section:</b>environment</br><b>Expected value:</b>EnvO",,4
MIxS Demo Project,,string,F,Env Feature,"<b>Definition:</b>Environmental feature level includes geographic environmental features. Compared to biome, feature is a descriptor of the more local environment. Examples include: harbor, cliff, or lake. EnvO (v 2013-06-14) terms can be found via the link: www.environmentontology.org/Browse-EnvO<br><b>Structured comment name:</b>env_feature</br><b>Section:</b>environment</br><b>Expected value:</b>EnvO",,5
MIxS Demo Project,,string,F,Env Material,"<b>Definition:</b>The environmental material level refers to the material that was displaced by the sample, or material in which a sample was embedded, prior to the sampling event. Environmental material terms are generally mass nouns. Examples include: air, soil, or water. EnvO (v 2013-06-14) terms can be found via the link: www.environmentontology.org/Browse-EnvO<br><b>Structured comment name:</b>env_material</br><b>Section:</b>environment</br><b>Expected value:</b>EnvO",,6
MIxS Demo Project,,string,F,Env Package,"<b>Definition:</b>MIGS/MIMS/MIMARKS extension for reporting of measurements and observations obtained from one or more of the environments where the sample was obtained. All environmental packages listed here are further defined in separate subtables. By giving the name of the environmental package, a selection of fields can be made from the subtables and can be reported<br><b>Structured comment name:</b>env_package</br><b>Section:</b>migs/mims/mimarks extension</br><b>Expected value:</b>CV",,7
MIxS Demo Project,,string,F,Ref Biomaterial,"<b>Definition:</b>primary publication if isolated before genome publication; otherwise, primary genome report<br><b>Structured comment name:</b>ref_biomaterial</br><b>Section:</b>nucleic acid sequence source</br><b>Expected value:</b>PMID, DOI or URL",,8
MIxS Demo Project,,string,F,Isol Growth Condt,"<b>Definition:</b>Publication reference in the form of pubmed ID (pmid), digital object identifier (doi) or url for isolation and growth condition specifications of the organism/material<br><b>Structured comment name:</b>isol_growth_condt</br><b>Section:</b>nucleic acid sequence source</br><b>Expected value:</b>PMID, DOI or URL",,9
MIxS Demo Project,,string,F,Seq Meth,"<b>Definition:</b>Sequencing method used; e.g. Sanger, pyrosequencing, ABI-solid<br><b>Structured comment name:</b>seq_meth</br><b>Section:</b>sequencing</br><b>Expected value:</b>",,10
MIxS Demo Project,,string,F,Assembly,<b>Definition:</b>How was the assembly done (e.g. with a text based assembler like phrap or a flowgram assembler); estimated error rate associated with the finished sequences (e.g. error rate of 1 in 1000 bp); and the method of calculation<br><b>Structured comment name:</b>assembly</br><b>Section:</b>sequencing</br><b>Expected value:</b>assembly method; estimated error rate; method of calculation,,11
MIxS Demo Project,,string,F,Assembly Name,<b>Definition:</b>Name/version of the assembly provided by the submitter that is used in the genome browsers and in the community<br><b>Structured comment name:</b>assembly_name</br><b>Section:</b>sequencing</br><b>Expected value:</b>name and version of assemby,,12
MIxS Demo Project,,string,F,Finishing Strategy,"<b>Definition:</b>Was the genome project intended to produce a complete or draft genome, Coverage, the fold coverage of the sequencing expressed as 2x, 3x, 18x  etc, and how many contigs were produced for the genome<br><b>Structured comment name:</b>finishing_strategy</br><b>Section:</b>sequencing</br><b>Expected value:</b>status; coverage; number of contigs",,13
MIxS Demo Project,,string,F,Annot Source,<b>Definition:</b>For cases where annotation was provided by a community jamboree or model organism database rather than by a specific submitter<br><b>Structured comment name:</b>annot_source</br><b>Section:</b>sequencing</br><b>Expected value:</b>annotation source description,,14

EventMetaAttributes
ProjectName,EventName,SampleRequired,Label,DataType,Required,AttributeName,Desc,Options,Order
MIxS Demo Project,SampleRegistration,T,,string,F,Lat Lon,<b>Definition:</b>The geographical origin of the sample as defined by latitude and longitude. The values should be reported in decimal degrees and in WGS84 system<br><b>Structured comment name:</b>lat_lon</br><b>Section:</b>environment</br><b>Expected value:</b>decimal degrees,,1
MIxS Demo Project,SampleRegistration,T,,string,F,Geo Loc Name,"<b>Definition:</b>The geographical origin of the sample as defined by the country or sea name followed by specific region name. Country or sea names should be chosen from the INSDC country list (http://insdc.org/country.html), or the GAZ ontology (v 1.512) (http://purl.bioontology.org/ontology/GAZ)<br><b>Structured comment name:</b>geo_loc_name</br><b>Section:</b>environment</br><b>Expected value:</b>country or sea name (INSDC or GAZ):region(GAZ):specific location name",,2
MIxS Demo Project,SampleRegistration,T,,string,F,Collection Date,"<b>Definition:</b>The time of sampling, either as an instance (single point in time) or interval. In case no exact time is available, the date/time can be right truncated i.e. all of these are valid times: 2008-01-23T19:23:10+00:00; 2008-01-23T19:23:10; 2008-01-23; 2008-01; 2008; Except: 2008-01; 2008 all are ISO8601 compliant<br><b>Structured comment name:</b>collection_date</br><b>Section:</b>environment</br><b>Expected value:</b>date and time",,3
MIxS Demo Project,SampleRegistration,T,,string,F,Env Biome,"<b>Definition:</b>Biomes are defined based on factors such as plant structures, leaf types, plant spacing, and other factors like climate. Biome should be treated as the descriptor of the broad ecological context of a sample. Examples include: desert, taiga, deciduous woodland, or coral reef. EnvO (v 2013-06-14) terms can be found via the link: www.environmentontology.org/Browse-EnvO<br><b>Structured comment name:</b>env_biome</br><b>Section:</b>environment</br><b>Expected value:</b>EnvO",,4
MIxS Demo Project,SampleRegistration,T,,string,F,Env Feature,"<b>Definition:</b>Environmental feature level includes geographic environmental features. Compared to biome, feature is a descriptor of the more local environment. Examples include: harbor, cliff, or lake. EnvO (v 2013-06-14) terms can be found via the link: www.environmentontology.org/Browse-EnvO<br><b>Structured comment name:</b>env_feature</br><b>Section:</b>environment</br><b>Expected value:</b>EnvO",,5
MIxS Demo Project,SampleRegistration,T,,string,F,Env Material,"<b>Definition:</b>The environmental material level refers to the material that was displaced by the sample, or material in which a sample was embedded, prior to the sampling event. Environmental material terms are generally mass nouns. Examples include: air, soil, or water. EnvO (v 2013-06-14) terms can be found via the link: www.environmentontology.org/Browse-EnvO<br><b>Structured comment name:</b>env_material</br><b>Section:</b>environment</br><b>Expected value:</b>EnvO",,6
MIxS Demo Project,SampleRegistration,T,,string,F,Env Package,"<b>Definition:</b>MIGS/MIMS/MIMARKS extension for reporting of measurements and observations obtained from one or more of the environments where the sample was obtained. All environmental packages listed here are further defined in separate subtables. By giving the name of the environmental package, a selection of fields can be made from the subtables and can be reported<br><b>Structured comment name:</b>env_package</br><b>Section:</b>migs/mims/mimarks extension</br><b>Expected value:</b>CV",,7
MIxS Demo Project,SampleRegistration,T,,string,F,Ref Biomaterial,"<b>Definition:</b>primary publication if isolated before genome publication; otherwise, primary genome report<br><b>Structured comment name:</b>ref_biomaterial</br><b>Section:</b>nucleic acid sequence source</br><b>Expected value:</b>PMID, DOI or URL",,8
MIxS Demo Project,SampleRegistration,T,,string,F,Isol Growth Condt,"<b>Definition:</b>Publication reference in the form of pubmed ID (pmid), digital object identifier (doi) or url for isolation and growth condition specifications of the organism/material<br><b>Structured comment name:</b>isol_growth_condt</br><b>Section:</b>nucleic acid sequence source</br><b>Expected value:</b>PMID, DOI or URL",,9
MIxS Demo Project,SampleRegistration,T,,string,F,Seq Meth,"<b>Definition:</b>Sequencing method used; e.g. Sanger, pyrosequencing, ABI-solid<br><b>Structured comment name:</b>seq_meth</br><b>Section:</b>sequencing</br><b>Expected value:</b>",,10
MIxS Demo Project,SampleRegistration,T,,string,F,Assembly,<b>Definition:</b>How was the assembly done (e.g. with a text based assembler like phrap or a flowgram assembler); estimated error rate associated with the finished sequences (e.g. error rate of 1 in 1000 bp); and the method of calculation<br><b>Structured comment name:</b>assembly</br><b>Section:</b>sequencing</br><b>Expected value:</b>assembly method; estimated error rate; method of calculation,,11
MIxS Demo Project,SampleRegistration,T,,string,F,Assembly Name,<b>Definition:</b>Name/version of the assembly provided by the submitter that is used in the genome browsers and in the community<br><b>Structured comment name:</b>assembly_name</br><b>Section:</b>sequencing</br><b>Expected value:</b>name and version of assemby,,12
MIxS Demo Project,SampleRegistration,T,,string,F,Finishing Strategy,"<b>Definition:</b>Was the genome project intended to produce a complete or draft genome, Coverage, the fold coverage of the sequencing expressed as 2x, 3x, 18x  etc, and how many contigs were produced for the genome<br><b>Structured comment name:</b>finishing_strategy</br><b>Section:</b>sequencing</br><b>Expected value:</b>status; coverage; number of contigs",,13
MIxS Demo Project,SampleRegistration,T,,string,F,Annot Source,<b>Definition:</b>For cases where annotation was provided by a community jamboree or model organism database rather than by a specific submitter<br><b>Structured comment name:</b>annot_source</br><b>Section:</b>sequencing</br><b>Expected value:</b>annotation source description,,14
MIxS Demo Project,SampleUpdate,T,,string,F,Lat Lon,<b>Definition:</b>The geographical origin of the sample as defined by latitude and longitude. The values should be reported in decimal degrees and in WGS84 system<br><b>Structured comment name:</b>lat_lon</br><b>Section:</b>environment</br><b>Expected value:</b>decimal degrees,,1
MIxS Demo Project,SampleUpdate,T,,string,F,Geo Loc Name,"<b>Definition:</b>The geographical origin of the sample as defined by the country or sea name followed by specific region name. Country or sea names should be chosen from the INSDC country list (http://insdc.org/country.html), or the GAZ ontology (v 1.512) (http://purl.bioontology.org/ontology/GAZ)<br><b>Structured comment name:</b>geo_loc_name</br><b>Section:</b>environment</br><b>Expected value:</b>country or sea name (INSDC or GAZ):region(GAZ):specific location name",,2
MIxS Demo Project,SampleUpdate,T,,string,F,Collection Date,"<b>Definition:</b>The time of sampling, either as an instance (single point in time) or interval. In case no exact time is available, the date/time can be right truncated i.e. all of these are valid times: 2008-01-23T19:23:10+00:00; 2008-01-23T19:23:10; 2008-01-23; 2008-01; 2008; Except: 2008-01; 2008 all are ISO8601 compliant<br><b>Structured comment name:</b>collection_date</br><b>Section:</b>environment</br><b>Expected value:</b>date and time",,3
MIxS Demo Project,SampleUpdate,T,,string,F,Env Biome,"<b>Definition:</b>Biomes are defined based on factors such as plant structures, leaf types, plant spacing, and other factors like climate. Biome should be treated as the descriptor of the broad ecological context of a sample. Examples include: desert, taiga, deciduous woodland, or coral reef. EnvO (v 2013-06-14) terms can be found via the link: www.environmentontology.org/Browse-EnvO<br><b>Structured comment name:</b>env_biome</br><b>Section:</b>environment</br><b>Expected value:</b>EnvO",,4
MIxS Demo Project,SampleUpdate,T,,string,F,Env Feature,"<b>Definition:</b>Environmental feature level includes geographic environmental features. Compared to biome, feature is a descriptor of the more local environment. Examples include: harbor, cliff, or lake. EnvO (v 2013-06-14) terms can be found via the link: www.environmentontology.org/Browse-EnvO<br><b>Structured comment name:</b>env_feature</br><b>Section:</b>environment</br><b>Expected value:</b>EnvO",,5
MIxS Demo Project,SampleUpdate,T,,string,F,Env Material,"<b>Definition:</b>The environmental material level refers to the material that was displaced by the sample, or material in which a sample was embedded, prior to the sampling event. Environmental material terms are generally mass nouns. Examples include: air, soil, or water. EnvO (v 2013-06-14) terms can be found via the link: www.environmentontology.org/Browse-EnvO<br><b>Structured comment name:</b>env_material</br><b>Section:</b>environment</br><b>Expected value:</b>EnvO",,6
MIxS Demo Project,SampleUpdate,T,,string,F,Env Package,"<b>Definition:</b>MIGS/MIMS/MIMARKS extension for reporting of measurements and observations obtained from one or more of the environments where the sample was obtained. All environmental packages listed here are further defined in separate subtables. By giving the name of the environmental package, a selection of fields can be made from the subtables and can be reported<br><b>Structured comment name:</b>env_package</br><b>Section:</b>migs/mims/mimarks extension</br><b>Expected value:</b>CV",,7
MIxS Demo Project,SampleUpdate,T,,string,F,Ref Biomaterial,"<b>Definition:</b>primary publication if isolated before genome publication; otherwise, primary genome report<br><b>Structured comment name:</b>ref_biomaterial</br><b>Section:</b>nucleic acid sequence source</br><b>Expected value:</b>PMID, DOI or URL",,8
MIxS Demo Project,SampleUpdate,T,,string,F,Isol Growth Condt,"<b>Definition:</b>Publication reference in the form of pubmed ID (pmid), digital object identifier (doi) or url for isolation and growth condition specifications of the organism/material<br><b>Structured comment name:</b>isol_growth_condt</br><b>Section:</b>nucleic acid sequence source</br><b>Expected value:</b>PMID, DOI or URL",,9
MIxS Demo Project,SampleUpdate,T,,string,F,Seq Meth,"<b>Definition:</b>Sequencing method used; e.g. Sanger, pyrosequencing, ABI-solid<br><b>Structured comment name:</b>seq_meth</br><b>Section:</b>sequencing</br><b>Expected value:</b>",,10
MIxS Demo Project,SampleUpdate,T,,string,F,Assembly,<b>Definition:</b>How was the assembly done (e.g. with a text based assembler like phrap or a flowgram assembler); estimated error rate associated with the finished sequences (e.g. error rate of 1 in 1000 bp); and the method of calculation<br><b>Structured comment name:</b>assembly</br><b>Section:</b>sequencing</br><b>Expected value:</b>assembly method; estimated error rate; method of calculation,,11
MIxS Demo Project,SampleUpdate,T,,string,F,Assembly Name,<b>Definition:</b>Name/version of the assembly provided by the submitter that is used in the genome browsers and in the community<br><b>Structured comment name:</b>assembly_name</br><b>Section:</b>sequencing</br><b>Expected value:</b>name and version of assemby,,12
MIxS Demo Project,SampleUpdate,T,,string,F,Finishing Strategy,"<b>Definition:</b>Was the genome project intended to produce a complete or draft genome, Coverage, the fold coverage of the sequencing expressed as 2x, 3x, 18x  etc, and how many contigs were produced for the genome<br><b>Structured comment name:</b>finishing_strategy</br><b>Section:</b>sequencing</br><b>Expected value:</b>status; coverage; number of contigs",,13
MIxS Demo Project,SampleUpdate,T,,string,F,Annot Source,<b>Definition:</b>For cases where annotation was provided by a community jamboree or model organism database rather than by a specific submitter<br><b>Structured comment name:</b>annot_source</br><b>Section:</b>sequencing</br><b>Expected value:</b>annotation source description,,14
MIxS Demo Project,Sequencing Assay,T,,string,F,Seq Meth,"<b>Definition:</b>Sequencing method used; e.g. Sanger, pyrosequencing, ABI-solid<br><b>Structured comment name:</b>seq_meth</br><b>Section:</b>sequencing</br><b>Expected value:</b>",,1
MIxS Demo Project,Sequencing Assay,T,,string,F,Assembly,<b>Definition:</b>How was the assembly done (e.g. with a text based assembler like phrap or a flowgram assembler); estimated error rate associated with the finished sequences (e.g. error rate of 1 in 1000 bp); and the method of calculation<br><b>Structured comment name:</b>assembly</br><b>Section:</b>sequencing</br><b>Expected value:</b>assembly method; estimated error rate; method of calculation,,2
MIxS Demo Project,Sequencing Assay,T,,string,F,Assembly Name,<b>Definition:</b>Name/version of the assembly provided by the submitter that is used in the genome browsers and in the community<br><b>Structured comment name:</b>assembly_name</br><b>Section:</b>sequencing</br><b>Expected value:</b>name and version of assemby,,3
MIxS Demo Project,Sequencing Assay,T,,string,F,Finishing Strategy,"<b>Definition:</b>Was the genome project intended to produce a complete or draft genome, Coverage, the fold coverage of the sequencing expressed as 2x, 3x, 18x  etc, and how many contigs were produced for the genome<br><b>Structured comment name:</b>finishing_strategy</br><b>Section:</b>sequencing</br><b>Expected value:</b>status; coverage; number of contigs",,4
MIxS Demo Project,Sequencing Assay,T,,string,F,Annot Source,<b>Definition:</b>For cases where annotation was provided by a community jamboree or model organism database rather than by a specific submitter<br><b>Structured comment name:</b>annot_source</br><b>Section:</b>sequencing</br><b>Expected value:</b>annotation source description,,5
